"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2409","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2425","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5361","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","10420","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","9561","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","9102","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5916","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","10429","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2523","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5330","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2436","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","3467","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","9917","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","4792","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2188","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
