"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5847","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2342","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2252","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5495","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","9326","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","9684","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5783","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2281","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","4300","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","8296","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2332","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5228","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","9062","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","8708","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2245","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
