"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4287","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2313","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","7658","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","9487","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","8681","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2143","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2367","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","8948","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5569","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","3656","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","8122","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5038","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2257","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","4173","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2169","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
