"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2363","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5177","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","4968","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","8348","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","9188","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2454","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5839","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","3575","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","8329","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2519","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","7934","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5093","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2443","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2445","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","7567","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
