"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13025","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5240","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5626","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2379","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","13759","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","3971","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","5138","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2324","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2498","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2563","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","2641","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-11","passed","2026-05-11","Authentication","","",""
"","14081","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","13901","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
"","4814","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-11","passed","2026-05-11","Authentication","","",""
"","14328","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-11","passed","2026-05-11","Authentication","","",""
