"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2788","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2899","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5442","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","4295","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2780","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5378","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","6901","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","6550","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","7347","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2888","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5969","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2929","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","6085","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","7304","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5822","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
