"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6630","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","4836","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","6507","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","4213","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","6532","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2618","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5499","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2453","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2542","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","6138","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2626","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5220","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5221","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-12","passed","2026-05-12","Authentication","","",""
"","2552","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-12","passed","2026-05-12","Authentication","","",""
"","5019","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-12","passed","2026-05-12","Authentication","","",""
