"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63628","Test create new patient @positive @patient","webkit","2026-05-15","broken","2026-05-15","Patient Management","","",""
"","10761","Test search patient @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","2644","OMRS-3 Login with empty credentials @negative @login","chromium","2026-05-15","passed","2026-05-15","Authentication","","",""
"","60120","Test delete patient @positive @patient","firefox","2026-05-15","broken","2026-05-15","Patient Management","","",""
"","4995","Test invalid input (date, numeric field) @negative @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","2739","OMRS-5 Login with invalid password @negative @login","chromium","2026-05-15","passed","2026-05-15","Authentication","","",""
"","8329","OMRS-3 Login with empty credentials @negative @login","webkit","2026-05-15","passed","2026-05-15","Authentication","","",""
"","11578","Test update patient details @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","5928","Test required field validation @negative @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","4486","Test required field validation @negative @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","5101","Test invalid input (date, numeric field) @negative @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","9914","OMRS-1 Login with valid credentials @positive @smoke @login","webkit","2026-05-15","passed","2026-05-15","Authentication","","",""
"","5994","OMRS-3 Login with empty credentials @negative @login","firefox","2026-05-15","passed","2026-05-15","Authentication","","",""
"","6330","OMRS-4 Login with invalid username @negative @login","webkit","2026-05-15","passed","2026-05-15","Authentication","","",""
"","14381","Test delete patient @positive @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","11236","Test search patient @positive @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","3108","OMRS-5 Login with invalid password @negative @login","webkit","2026-05-15","passed","2026-05-15","Authentication","","",""
"","10282","Test create new patient @positive @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","12837","Test delete patient @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","4610","OMRS-1 Login with valid credentials @positive @smoke @login","firefox","2026-05-15","passed","2026-05-15","Authentication","","",""
"","11745","Test search patient @positive @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","4198","Test required field validation @negative @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","2714","OMRS-2 Login with invalid credentials @negative @login","chromium","2026-05-15","passed","2026-05-15","Authentication","","",""
"","8078","Test create new patient @positive @patient","chromium","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","5592","OMRS-2 Login with invalid credentials @negative @login","firefox","2026-05-15","passed","2026-05-15","Authentication","","",""
"","6536","OMRS-5 Login with invalid password @negative @login","firefox","2026-05-15","passed","2026-05-15","Authentication","","",""
"","63607","Test update patient details @positive @patient","webkit","2026-05-15","broken","2026-05-15","Patient Management","","",""
"","4150","Test invalid input (date, numeric field) @negative @patient","webkit","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","13939","Test update patient details @positive @patient","firefox","2026-05-15","passed","2026-05-15","Patient Management","","",""
"","2801","OMRS-4 Login with invalid username @negative @login","chromium","2026-05-15","passed","2026-05-15","Authentication","","",""
"","8847","OMRS-2 Login with invalid credentials @negative @login","webkit","2026-05-15","passed","2026-05-15","Authentication","","",""
"","2938","OMRS-1 Login with valid credentials @positive @smoke @login","chromium","2026-05-15","passed","2026-05-15","Authentication","","",""
"","5640","OMRS-4 Login with invalid username @negative @login","firefox","2026-05-15","passed","2026-05-15","Authentication","","",""
