"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3485","Test invalid input (date, numeric field) @negative @patient","chromium","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","59175","Test create new patient @positive @patient","webkit","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","56238","Test delete patient @positive @patient","firefox","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","57410","Test update patient details @positive @patient","webkit","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","5503","Test invalid input (date, numeric field) @negative @patient","firefox","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","59319","Test update patient details @positive @patient","chromium","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","58914","Test create new patient @positive @patient","chromium","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","54711","Test create new patient @positive @patient","firefox","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","53840","Test update patient details @positive @patient","firefox","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","7899","Test search patient @positive @patient","firefox","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","5403","Test required field validation @negative @patient","firefox","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","59387","Test delete patient @positive @patient","chromium","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","4363","Test required field validation @negative @patient","webkit","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","8208","Test search patient @positive @patient","webkit","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","56851","Test delete patient @positive @patient","webkit","2026-06-03","failed","2026-06-03","Patient Management","","",""
"","4213","Test invalid input (date, numeric field) @negative @patient","webkit","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","3998","Test required field validation @negative @patient","chromium","2026-06-03","passed","2026-06-03","Patient Management","","",""
"","8113","Test search patient @positive @patient","chromium","2026-06-03","passed","2026-06-03","Patient Management","","",""
